상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
낙원닭갈비,2021-07-30,음식점,37.879227,127.725789,강원,춘천시,중앙로2가,,310,51.22,48.78,13.47,20.99,22.99,23.29,19.26,2021-12-21
윤일닭갈비,2021-07-30,음식점,37.863295,127.735522,강원,춘천시,효자동,,310,23.26,76.74,13.58,21.14,21.17,21.82,22.29,2021-12-21
춘천산더덕슻불닭갈비,2021-07-30,음식점,37.87934,127.725876,강원,춘천시,중앙로2가,,310,53.42,46.58,14.33,21.85,20.31,21.32,22.19,2021-12-21
춘천날아라닭갈비,2021-08-11,음식점,37.857758,127.758484,강원,춘천시,동내면,거두리,309,50.87,49.13,14.07,19.48,22.94,23.72,19.79,2021-12-21
해온닭갈비막국수,2021-08-08,음식점,37.859323,127.717931,강원,춘천시,온의동,,308,51.46,48.54,13.31,20.79,21.95,22.44,21.51,2021-12-21
원조 산더덕 숯불 닭갈비,2021-08-25,음식점,37.879324,127.725927,강원,춘천시,중앙로2가,,301,28.7,71.3,13.39,20.93,24.71,18.82,22.15,2021-12-21
춘천산닭산속에닭갈비,2021-08-15,음식점,37.851584,127.714147,강원,춘천시,온의동,,300,48.42,51.58,19.28,21.17,18.61,19.85,21.09,2021-12-21
소양강처녀닭갈비막국수,2021-09-08,음식점,37.89282,127.723993,강원,춘천시,근화동,,298,55.45,44.55,11.5,19.57,30.19,11.95,26.79,2021-12-21
애니닭갈비,2021-09-17,음식점,37.89422,127.68943,강원,춘천시,서면,현암리,293,57.55,42.45,10.38,14.73,18.2,23.44,33.25,2021-12-21
윤일 닭갈비,2021-09-17,음식점,37.863295,127.735522,강원,춘천시,효자동,,293,56.13,43.87,13.18,20.92,23.71,20.21,21.98,2021-12-21
의암닭갈비,2021-08-04,음식점,37.828242,127.670895,강원,춘천시,서면,덕두원리,293,50.05,49.95,11.62,15.77,19.85,24.32,28.44,2021-12-21
춘천명가호반닭갈비막국수,2021-09-23,음식점,37.852697,127.752773,강원,춘천시,동내면,거두리,287,54.78,45.22,12.78,18.42,24.94,23.59,20.27,2021-12-21
춘천산더덕숯불닭갈비,2021-10-14,음식점,37.879331,127.725918,강원,춘천시,중앙로2가,,272,54.56,45.44,13.25,21.03,23.86,19.81,22.05,2021-12-21
퇴계닭갈비유통,2021-10-18,기타시설,37.857154,127.743325,강원,춘천시,석사동,,270,52.97,47.03,16.47,22.21,20.75,17.64,22.93,2021-12-21
원닭갈비,2021-11-02,음식점,37.860422,127.759661,강원,춘천시,동내면,거두리,261,54.89,45.11,13.46,18.94,25.98,20.64,20.98,2021-12-21
황토숯불닭갈비,2021-11-04,음식점,37.876585,127.753548,강원,춘천시,후평동,,258,51.63,48.37,13.96,21.54,20.7,21.51,22.29,2021-12-21
춘천유명닭갈비,2021-11-01,음식점,37.865811,127.751975,강원,춘천시,석사동,,257,58.03,41.97,14.77,20.3,18.72,24.97,21.24,2021-12-21
춘천1번지닭갈비&막국수,2021-11-17,음식점,37.816841,127.713998,강원,춘천시,신동면,증리,253,60.57,39.43,8.85,19.43,18.33,20.99,32.4,2021-12-21
춘천닭갈비전문점,2021-11-06,음식점,37.8764,127.753563,강원,춘천시,후평동,,253,16.84,83.16,12.52,19.99,23.67,22.51,21.31,2021-12-21
학곡사거리막국수닭갈비,2021-11-07,음식점,37.837181,127.758645,강원,춘천시,동내면,학곡리,248,57.25,42.75,13.18,18.65,25.71,21.77,20.69,2021-12-21
운수대통닭갈비,2021-08-20,음식점,37.873773,127.743228,강원,춘천시,효자동,,234,54.9,45.1,13.32,20.86,24.64,19.1,22.08,2021-12-21
춘천 숯불 닭갈비,2021-08-20,음식점,37.878827,127.725282,강원,춘천시,중앙로2가,,234,54.51,45.49,12.68,20.22,23.99,21.67,21.44,2021-12-21
금병산숯불철판닭갈비,2021-07-21,음식점,37.816428,127.714853,강원,춘천시,신동면,증리,233,55.14,44.86,10.87,21.25,20.48,22.89,24.51,2021-12-21
